HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Tottenham,Brighton,2,1,9.0,6.0,3.0,2.0,1,Home Wins,33.33333333333333,33.33333333333333,22.22222222222222,16.666666666666664
Fulham,West Brom,2,0,13.0,10.0,6.0,1.0,2,Home Wins,46.15384615384615,10.0,15.384615384615385,0.0
Leeds,Leicester,1,4,11.0,10.0,4.0,8.0,-3,Away Wins,36.36363636363637,80.0,9.090909090909092,40.0
Brighton,Burnley,0,0,19.0,4.0,3.0,1.0,0,Draw,15.789473684210526,25.0,0.0,0.0
Southampton,Newcastle,2,0,15.0,4.0,8.0,2.0,2,Home Wins,53.333333333333336,50.0,13.333333333333334,0.0
Everton,Man United,1,3,7.0,13.0,1.0,5.0,-2,Away Wins,14.285714285714285,38.46153846153847,14.285714285714285,23.076923076923077
Crystal Palace,Leeds,4,1,10.0,9.0,6.0,3.0,3,Home Wins,60.0,33.33333333333333,40.0,11.11111111111111
Chelsea,Sheffield United,4,1,20.0,6.0,9.0,3.0,3,Home Wins,45.0,50.0,20.0,16.666666666666664
West Ham,Fulham,1,0,16.0,13.0,7.0,3.0,1,Home Wins,43.75,23.076923076923077,6.25,0.0
West Brom,Tottenham,0,1,12.0,19.0,2.0,5.0,-1,Away Wins,16.666666666666664,26.31578947368421,0.0,5.263157894736842
Leicester,Wolves,1,0,10.0,7.0,3.0,2.0,1,Home Wins,30.0,28.57142857142857,10.0,0.0
Man City,Liverpool,1,1,7.0,10.0,2.0,3.0,0,Draw,28.57142857142857,30.0,14.285714285714285,10.0
Arsenal,Aston Villa,0,3,13.0,15.0,2.0,6.0,-3,Away Wins,15.384615384615385,40.0,0.0,20.0
Newcastle,Chelsea,0,2,8.0,14.0,1.0,3.0,-2,Away Wins,12.5,21.428571428571427,0.0,14.285714285714285
Aston Villa,Brighton,1,2,15.0,7.0,4.0,3.0,-1,Away Wins,26.666666666666668,42.857142857142854,6.666666666666667,28.57142857142857
Tottenham,Man City,2,0,4.0,22.0,2.0,5.0,2,Home Wins,50.0,22.727272727272727,50.0,0.0
Man United,West Brom,1,0,17.0,7.0,7.0,2.0,1,Home Wins,41.17647058823529,28.57142857142857,5.88235294117647,0.0
Fulham,Everton,2,3,14.0,9.0,6.0,7.0,-1,Away Wins,42.857142857142854,77.77777777777779,14.285714285714285,33.33333333333333
Sheffield United,West Ham,0,1,9.0,15.0,5.0,3.0,-1,Away Wins,55.55555555555556,20.0,0.0,6.666666666666667
Leeds,Arsenal,0,0,25.0,9.0,4.0,2.0,0,Draw,16.0,22.22222222222222,0.0,0.0
Liverpool,Leicester,3,0,24.0,11.0,13.0,4.0,3,Home Wins,54.166666666666664,36.36363636363637,12.5,0.0
Burnley,Crystal Palace,1,0,10.0,15.0,4.0,5.0,1,Home Wins,40.0,33.33333333333333,10.0,0.0
Wolves,Southampton,1,1,20.0,7.0,9.0,2.0,0,Draw,45.0,28.57142857142857,5.0,14.285714285714285
Crystal Palace,Newcastle,0,2,12.0,14.0,3.0,7.0,-2,Away Wins,25.0,50.0,0.0,14.285714285714285
Brighton,Liverpool,1,1,11.0,6.0,3.0,2.0,0,Draw,27.27272727272727,33.33333333333333,9.090909090909092,16.666666666666664
Man City,Burnley,5,0,19.0,9.0,6.0,1.0,5,Home Wins,31.57894736842105,11.11111111111111,26.31578947368421,0.0
Everton,Leeds,0,1,15.0,23.0,8.0,7.0,-1,Away Wins,53.333333333333336,30.434782608695656,0.0,4.3478260869565215
West Brom,Sheffield United,1,0,17.0,21.0,6.0,5.0,1,Home Wins,35.294117647058826,23.809523809523807,5.88235294117647,0.0
Southampton,Man United,2,3,10.0,15.0,5.0,6.0,-1,Away Wins,50.0,40.0,20.0,20.0
Chelsea,Tottenham,0,0,13.0,5.0,3.0,1.0,0,Draw,23.076923076923077,20.0,0.0,0.0
Arsenal,Wolves,1,2,13.0,11.0,2.0,5.0,-1,Away Wins,15.384615384615385,45.45454545454545,7.6923076923076925,18.181818181818183
Leicester,Fulham,1,2,16.0,10.0,3.0,5.0,-1,Away Wins,18.75,50.0,6.25,20.0
West Ham,Aston Villa,2,1,6.0,16.0,2.0,6.0,1,Home Wins,33.33333333333333,37.5,33.33333333333333,6.25
Burnley,Everton,1,1,8.0,13.0,3.0,6.0,0,Draw,37.5,46.15384615384615,12.5,7.6923076923076925
Man City,Fulham,2,0,16.0,6.0,6.0,1.0,2,Home Wins,37.5,16.666666666666664,12.5,0.0
West Ham,Man United,1,3,19.0,15.0,6.0,6.0,-2,Away Wins,31.57894736842105,40.0,5.263157894736842,20.0
Chelsea,Leeds,3,1,23.0,8.0,11.0,3.0,2,Home Wins,47.82608695652174,37.5,13.043478260869565,12.5
West Brom,Crystal Palace,1,5,9.0,18.0,4.0,6.0,-4,Away Wins,44.44444444444444,33.33333333333333,11.11111111111111,27.77777777777778
Sheffield United,Leicester,1,2,4.0,13.0,1.0,4.0,-1,Away Wins,25.0,30.76923076923077,25.0,15.384615384615385
Tottenham,Arsenal,2,0,6.0,11.0,3.0,2.0,2,Home Wins,50.0,18.181818181818183,33.33333333333333,0.0
Liverpool,Wolves,4,0,11.0,9.0,6.0,3.0,4,Home Wins,54.54545454545454,33.33333333333333,36.36363636363637,0.0
